,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
202,2021,Machine Learning Infrastructure Engineer,SE,FT,"1,55,16,053.00",US,US,M,100
203,2021,Data Scientist,MI,FT,"30,09,716.00",ES,ES,L,100
204,2021,Research Scientist,SE,FT,"39,78,475.00",FR,US,S,100
205,2021,Data Scientist,MI,FT,"1,27,31,120.00",US,US,L,100
206,2021,Data Scientist,MI,FT,"10,26,526.00",BR,BR,S,0
207,2021,Machine Learning Engineer,SE,FT,"1,59,13,900.00",US,US,L,100
208,2021,Data Engineer,SE,FT,"1,31,28,968.00",US,US,M,0
209,2021,Data Engineer,MI,FL,"15,91,390.00",IT,US,L,0
210,2021,Data Analytics Manager,SE,FT,"95,48,340.00",US,US,L,0
211,2021,Machine Learning Engineer,MI,FT,"19,75,154.00",SI,SI,L,50
212,2021,Research Scientist,MI,FT,"45,14,614.00",FR,FR,S,50
213,2021,Data Engineer,MI,FT,"52,53,338.00",HK,GB,S,50
214,2021,Big Data Engineer,EN,FT,"4,68,028.00",IN,CH,L,0
215,2021,Machine Learning Engineer,EN,FT,"19,75,154.00",DE,DE,M,50
216,2021,Principal Data Engineer,SE,FT,"1,47,20,358.00",US,US,L,100
217,2021,Computer Vision Engineer,EN,PT,"22,76,404.00",DK,DK,S,50
218,2021,Data Scientist,MI,FT,"72,19,659.00",DE,DE,L,50
219,2021,Machine Learning Engineer,MI,FT,"70,54,154.00",BE,BE,M,100
220,2021,Data Analytics Manager,SE,FT,"1,11,39,730.00",US,US,L,100
221,2021,Machine Learning Engineer,MI,FT,"37,07,700.00",PL,PL,L,100
222,2021,Data Scientist,MI,FT,"93,02,789.00",GB,GB,L,50
223,2021,Data Scientist,MI,FT,"26,90,086.00",IN,IN,M,0
224,2021,Data Scientist,MI,FT,"44,76,262.00",GB,GB,L,50
225,2021,Machine Learning Scientist,SE,FT,"1,79,03,138.00",US,CA,L,100
226,2021,Principal Data Scientist,EX,CT,"3,31,00,912.00",US,US,S,100
227,2021,Data Scientist,SE,FT,"69,81,269.00",CA,CA,S,100
228,2021,Data Scientist,MI,FT,"70,54,154.00",DE,DE,L,50
229,2021,Data Scientist,SE,FT,"1,07,41,883.00",US,US,L,0
230,2021,Data Analyst,SE,FT,"57,11,976.00",CA,CA,M,100
231,2021,Big Data Engineer,EN,FT,"12,91,254.00",IN,IN,L,100
232,2021,ML Engineer,SE,FT,"2,03,69,792.00",US,US,S,100
233,2021,Director of Data Engineering,SE,FT,"1,59,13,900.00",US,US,L,100
234,2021,Data Analyst,SE,FT,"1,59,13,900.00",US,US,L,100
235,2021,Data Architect,MI,FT,"1,43,22,510.00",US,US,L,100
236,2021,Head of Data Science,MI,FT,"87,52,645.00",US,US,S,0
237,2021,Research Scientist,MI,FT,"50,77,330.00",CA,CA,M,100
238,2021,Data Scientist,MI,FT,"37,24,569.00",ES,ES,M,100
239,2021,Data Scientist,EN,FT,"3,18,278.00",VN,VN,M,0
240,2021,Data Engineer,EN,FT,"17,21,645.00",IN,IN,M,50
241,2021,Data Scientist,SE,FT,"82,50,641.00",CA,CA,L,100
242,2021,Data Analyst,MI,FT,"63,65,560.00",US,US,L,100
243,2021,Data Engineer,MI,FT,"87,52,645.00",US,US,L,100
244,2021,Data Scientist,SE,FT,"1,31,28,968.00",US,US,L,100
245,2021,AI Scientist,EN,FT,"14,36,468.00",IN,AS,S,100
246,2021,Data Engineer,MI,FT,"57,45,873.00",GB,GB,L,50
247,2021,Data Scientist,EN,FT,"29,15,665.00",FR,FR,L,50
248,2021,Data Engineer,MI,FT,"9,63,030.00",TR,TR,M,0
249,2021,Data Engineer,SE,FT,"76,61,111.00",GB,GB,L,50
250,2021,Principal Data Analyst,SE,FT,"1,35,26,815.00",US,US,M,100
251,2021,Data Scientist,MI,FT,"91,50,493.00",US,US,L,50
252,2021,Data Scientist,EN,FT,"71,61,255.00",US,US,S,100
253,2021,Principal Data Engineer,EX,FT,"4,77,41,700.00",US,US,L,100
254,2021,Data Scientist,EN,FT,"22,59,694.00",IN,IN,M,100
255,2021,Data Analyst,MI,FT,"73,99,964.00",US,US,L,100
256,2021,Big Data Architect,SE,FT,"79,33,318.00",CA,CA,M,50
257,2021,Data Engineer,MI,FT,"1,59,13,900.00",US,US,L,100
258,2021,Principal Data Scientist,SE,FT,"1,38,26,155.00",DE,DE,M,100
259,2021,Machine Learning Engineer,SE,FT,"1,47,20,358.00",US,US,L,50
260,2021,Director of Data Science,EX,FT,"1,12,86,615.00",DE,DE,L,0
261,2021,Data Scientist,MI,FT,"1,03,44,035.00",US,US,L,50
262,2021,Data Analyst,SE,FT,"50,79,001.00",DE,DE,L,50
263,2021,Data Scientist,MI,FT,"13,45,043.00",IN,IN,S,100
264,2021,Machine Learning Engineer,SE,FT,"52,72,673.00",IN,IN,L,0
265,2021,Data Scientist,MI,FT,"20,31,568.00",RS,DE,S,100
266,2021,Lead Data Engineer,SE,FT,"1,27,31,120.00",PR,US,S,50
267,2021,Data Engineer,MI,FT,"74,11,899.00",US,US,M,0
268,2021,Data Engineer,MI,FT,"88,93,881.00",US,US,M,0
269,2021,Data Engineer,MI,FT,"22,29,219.00",TR,TR,M,100
270,2021,Data Engineer,EN,FT,"51,73,052.00",DE,DE,M,50
271,2021,Data Engineer,EN,FT,"57,68,789.00",US,US,L,100
272,2021,Computer Vision Engineer,SE,FT,"15,04,421.00",BR,BR,M,0
273,2021,Data Science Consultant,EN,FT,"61,13,563.00",DE,DE,L,0
274,2021,Machine Learning Engineer,EN,FT,"67,63,408.00",NL,DE,S,100
275,2021,Data Scientist,SE,FT,"61,81,277.00",FR,FR,M,50
276,2021,Data Scientist,EN,FT,"79,56,950.00",US,US,M,100
277,2021,Data Scientist,EN,FT,"46,15,031.00",US,US,L,50
278,2021,AI Scientist,SE,FT,"43,76,323.00",ES,ES,L,100
279,2021,Data Scientist,SE,FT,"16,04,996.00",TR,TR,L,50
280,2021,Business Data Analyst,EN,FT,"47,02,717.00",LU,LU,L,100
281,2021,Data Engineer,MI,FT,"89,11,784.00",US,US,L,100
282,2021,Research Scientist,EN,FT,"79,56,950.00",JE,CN,L,0
283,2021,Data Engineer,MI,PT,"55,49,256.00",NL,NL,L,100
284,2021,Staff Data Scientist,SE,CT,"83,54,798.00",US,US,M,100
285,2021,Research Scientist,MI,FT,"55,69,785.00",CZ,CZ,L,50
286,2021,Data Science Manager,SE,FT,"75,32,447.00",IN,IN,L,50
287,2021,Head of Data,SE,FT,"81,82,848.00",SI,SI,L,100
288,2021,Data Scientist,MI,FT,"86,73,076.00",US,US,L,50
289,2021,Machine Learning Engineer,MI,FT,"40,63,137.00",IT,IT,L,50
290,2022,Data Engineer,SE,FT,"1,07,41,883.00",US,US,M,100
291,2022,Data Analyst,SE,FT,"1,23,33,273.00",US,US,M,100
292,2022,Data Analyst,SE,FT,"95,96,082.00",US,US,M,100
293,2022,Data Scientist,MI,FT,"1,03,44,035.00",US,US,M,0
294,2022,Data Scientist,MI,FT,"71,61,255.00",US,US,M,0
295,2022,Data Engineer,MI,FT,"1,35,26,815.00",US,US,M,100
296,2022,Data Engineer,MI,FT,"1,19,35,425.00",US,US,M,100
297,2022,Data Analyst,SE,FT,"81,24,046.00",US,US,M,100
298,2022,Data Analyst,SE,FT,"67,55,451.00",US,US,M,100
299,2022,Data Scientist,SE,FT,"1,08,70,785.00",US,US,M,100
300,2022,Data Scientist,SE,FT,"79,06,026.00",US,US,M,100
301,2022,Data Scientist,SE,FT,"93,72,412.00",GB,GB,M,0
302,2022,Data Scientist,SE,FT,"83,31,086.00",GB,GB,M,0
303,2022,Data Scientist,SE,FT,"1,16,17,147.00",US,US,M,100
304,2022,Data Scientist,SE,FT,"97,87,049.00",US,US,M,100
305,2022,Data Engineer,EN,FT,"41,65,543.00",GB,GB,M,100
306,2022,Data Analyst,SE,FT,"78,77,381.00",US,US,M,0
307,2022,Data Analyst,SE,FT,"92,30,062.00",US,US,M,0
308,2022,Data Analyst,MI,FT,"84,55,055.00",US,US,M,0
309,2022,Data Analyst,MI,FT,"1,00,65,542.00",US,US,M,0
310,2022,Data Engineer,EX,FT,"1,92,55,819.00",US,US,M,100
311,2022,Data Engineer,EX,FT,"1,59,13,900.00",US,US,M,100
312,2022,Data Scientist,MI,FT,"52,06,869.00",GB,GB,M,0
313,2022,Data Scientist,MI,FT,"31,24,137.00",GB,GB,M,0
314,2022,Data Engineer,MI,FT,"62,48,275.00",GB,GB,M,0
315,2022,Data Engineer,MI,FT,"41,65,543.00",GB,GB,M,0
316,2022,Data Scientist,SE,FT,"1,31,46,473.00",US,US,M,100
317,2022,Data Engineer,EN,FT,"36,44,840.00",GB,GB,M,100
318,2022,Data Scientist,SE,FT,"95,61,071.00",US,US,M,100
319,2022,Data Analyst,SE,FT,"71,86,717.00",US,US,M,100
320,2022,Data Engineer,SE,FT,"1,44,76,875.00",US,US,M,0
321,2022,Data Engineer,SE,FT,"1,05,28,636.00",US,US,M,0
322,2022,Data Engineer,SE,FT,"1,75,14,043.00",US,US,M,0
323,2022,Data Engineer,SE,FT,"1,27,37,486.00",US,US,M,0
324,2022,Data Scientist,SE,FT,"1,43,22,510.00",US,US,L,0
325,2022,Data Scientist,SE,FT,"95,48,340.00",US,US,L,0
326,2022,Data Analyst,SE,FT,"98,81,736.00",US,US,M,100
327,2022,Data Analyst,EX,FT,"1,03,44,035.00",US,US,M,100
328,2022,Data Analyst,EX,FT,"87,52,645.00",US,US,M,100
329,2022,Data Analyst,SE,FT,"1,35,26,815.00",US,US,M,100
330,2022,Data Analyst,MI,FT,"91,90,277.00",US,US,M,100
331,2022,Data Analyst,SE,FT,"89,83,397.00",US,US,M,100
332,2022,Data Analyst,SE,FT,"71,86,717.00",US,US,M,100
333,2022,Data Analyst,SE,FT,"89,83,397.00",US,US,M,100
334,2022,Data Analyst,SE,FT,"71,86,717.00",US,US,M,100
335,2022,Data Engineer,SE,FT,"1,31,60,795.00",US,US,M,100
336,2022,Data Engineer,SE,FT,"1,05,28,636.00",US,US,M,100
337,2022,Data Analyst,MI,FT,"1,32,88,107.00",US,US,M,100
338,2022,Data Engineer,SE,FT,"1,94,07,001.00",US,US,M,100
339,2022,Data Analyst,SE,FT,"1,08,69,194.00",US,US,M,100
340,2022,Data Analyst,SE,FT,"86,95,355.00",US,US,M,100
341,2022,Data Engineer,SE,FT,"1,02,54,519.00",US,US,M,100
342,2022,Data Engineer,SE,FT,"74,55,662.00",US,US,M,100
343,2022,Head of Data Science,EX,FT,"1,78,23,568.00",US,US,M,100
344,2022,Head of Data Science,EX,FT,"1,33,57,730.00",US,US,M,100
345,2022,Analytics Engineer,EX,FT,"1,39,24,663.00",US,US,M,100
346,2022,Data Engineer,SE,FT,"1,24,60,584.00",US,US,M,100
347,2022,Data Engineer,SE,FT,"86,57,162.00",US,US,M,0
348,2022,Data Scientist,SE,FT,"76,02,866.00",US,US,M,0
349,2022,Data Engineer,SE,FT,"89,91,354.00",US,US,L,0
350,2022,Data Analyst,SE,FT,"1,07,41,883.00",US,US,M,100
351,2022,Data Science Manager,SE,FT,"1,28,37,902.00",US,US,M,100
352,2022,Data Science Manager,SE,FT,"1,09,12,241.00",US,US,M,100
353,2022,Data Scientist,SE,FT,"1,32,88,107.00",US,US,M,100
354,2022,Data Scientist,SE,FT,"97,87,049.00",US,US,M,100
355,2022,Data Engineer,SE,FT,"62,48,275.00",GB,GB,M,0
356,2022,Data Engineer,SE,FT,"52,06,869.00",GB,GB,M,0
357,2022,Data Scientist,SE,FT,"1,19,35,425.00",US,US,M,0
358,2022,Data Scientist,SE,FT,"1,68,28,949.00",US,US,M,100
359,2022,Data Architect,SE,FT,"1,53,09,172.00",CA,CA,M,100
360,2022,Data Architect,SE,FT,"72,16,954.00",CA,CA,M,100
361,2022,Data Analyst,SE,FT,"1,03,44,035.00",CA,CA,M,100
362,2022,Data Analyst,SE,FT,"48,77,610.00",CA,CA,M,100
363,2022,Data Analyst,SE,FT,"1,03,44,035.00",CA,CA,M,100
364,2022,Data Analyst,SE,FT,"48,77,610.00",CA,CA,M,100
365,2022,Data Engineer,SE,FT,"1,27,31,120.00",US,US,L,0
366,2022,Data Scientist,SE,FT,"1,10,28,333.00",US,US,M,100
367,2022,Data Engineer,SE,FT,"1,08,21,452.00",US,US,M,0
368,2022,Data Analyst,MI,FT,"46,15,031.00",US,US,S,0
